2026-04-18 10:59:18 | INFO     | digital_twin.ai      | ✅ Engine ready: [CONVEYOR_02]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | ⚙️  DigitalTwinEngine created: [HYDRAULIC_PRESS_03]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | 🔧 Initialising engine: [HYDRAULIC_PRESS_03]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      |   [HYDRAULIC_PRESS_03] Warmed up with 120 historical readings
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | ✅ Engine ready: [HYDRAULIC_PRESS_03]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | ⚙️  DigitalTwinEngine created: [ROBOT_ARM_04]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | 🔧 Initialising engine: [ROBOT_ARM_04]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      |   [ROBOT_ARM_04] Warmed up with 120 historical readings
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | ✅ Engine ready: [ROBOT_ARM_04]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | ⚙️  DigitalTwinEngine created: [COMPRESSOR_05]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | 🔧 Initialising engine: [COMPRESSOR_05]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      |   [COMPRESSOR_05] Warmed up with 120 historical readings
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | ✅ Engine ready: [COMPRESSOR_05]
2026-04-18 10:59:18 | INFO     | digital_twin.ai      | 🔧 [CNC_MILL_01] Healing: increase_cooling (risk=HIGH, score=75.0)
2026-04-18 10:59:18 | WARNING  | digital_twin.ai      | 🚨 [CNC_MILL_01] Alert: HIGH score=75.0
2026-04-18 10:59:18 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:20 | INFO     | digital_twin.ai      | 🔧 [CNC_MILL_01] Healing: reduce_load (risk=HIGH, score=75.0)
2026-04-18 10:59:20 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:22 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:24 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:26 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:28 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:30 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:32 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:34 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:36 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:38 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:40 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:42 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:44 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:46 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
2026-04-18 10:59:48 | WARNING  | digital_twin.ai      | 🚨 [CNC_MILL_01] Alert: HIGH score=75.0
2026-04-18 10:59:48 | ERROR    | digital_twin.ai      | [CNC_MILL_01] DB persist error: DigitalTwinEngine._format_alert_message() missing 1 required positional argument: 'anomalous'
