2026-04-18 07:31:05 | INFO     | digital_twin.app     |    Allowed origins: ['http://localhost:3000', 'http://localhost:8080', 'http://localhost:5173']
2026-04-18 07:31:05 | INFO     | digital_twin.app     | ✅ CORS middleware configured
2026-04-18 07:31:05 | INFO     | digital_twin.app     | Security and compliance systems initialized
2026-04-18 07:31:06 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:31:06 | INFO     | digital_twin.app     | 🤖 Digital Twin AI System — Starting Up
2026-04-18 07:31:06 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:31:06 | INFO     | digital_twin.app     | 📦 Initializing database...
2026-04-18 07:31:06 | INFO     | digital_twin.app     | 🧠 Booting Digital Twin AI engines...
2026-04-18 07:31:06 | INFO     | digital_twin.app     |   ✅ Twin ready: CNC_MILL_01
2026-04-18 07:31:06 | INFO     | digital_twin.app     |   ✅ Twin ready: CONVEYOR_02
2026-04-18 07:31:06 | INFO     | digital_twin.app     |   ✅ Twin ready: HYDRAULIC_PRESS_03
2026-04-18 07:31:06 | INFO     | digital_twin.app     |   ✅ Twin ready: ROBOT_ARM_04
2026-04-18 07:31:06 | INFO     | digital_twin.app     |   ✅ Twin ready: COMPRESSOR_05
2026-04-18 07:31:06 | INFO     | digital_twin.app     | 📡 Starting sensor streams...
2026-04-18 07:31:06 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:31:06 | INFO     | digital_twin.app     | 🚀 System running on http://0.0.0.0:8000
2026-04-18 07:31:06 | INFO     | digital_twin.app     | 📊 Dashboard: http://0.0.0.0:8000/docs
2026-04-18 07:31:06 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:31:06 | INFO     | digital_twin.app     | ⏹ Shutting down Digital Twin AI System...
2026-04-18 07:31:06 | INFO     | digital_twin.app     | ✅ Shutdown complete
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 🌐 Setting up CORS middleware...
2026-04-18 07:32:31 | INFO     | digital_twin.app     |    Allowed origins: ['http://localhost:3000', 'http://localhost:8080', 'http://localhost:5173']
2026-04-18 07:32:31 | INFO     | digital_twin.app     | ✅ CORS middleware configured
2026-04-18 07:32:31 | INFO     | digital_twin.app     | Security and compliance systems initialized
2026-04-18 07:32:31 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 🤖 Digital Twin AI System — Starting Up
2026-04-18 07:32:31 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 📦 Initializing database...
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 🧠 Booting Digital Twin AI engines...
2026-04-18 07:32:31 | INFO     | digital_twin.app     |   ✅ Twin ready: CNC_MILL_01
2026-04-18 07:32:31 | INFO     | digital_twin.app     |   ✅ Twin ready: CONVEYOR_02
2026-04-18 07:32:31 | INFO     | digital_twin.app     |   ✅ Twin ready: HYDRAULIC_PRESS_03
2026-04-18 07:32:31 | INFO     | digital_twin.app     |   ✅ Twin ready: ROBOT_ARM_04
2026-04-18 07:32:31 | INFO     | digital_twin.app     |   ✅ Twin ready: COMPRESSOR_05
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 📡 Starting sensor streams...
2026-04-18 07:32:31 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 🚀 System running on http://0.0.0.0:8000
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 📊 Dashboard: http://0.0.0.0:8000/docs
2026-04-18 07:32:31 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:32:31 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 77f21108-a497-4f8c-a7dc-057b96d73699
2026-04-18 07:33:38 | INFO     | digital_twin.app     | 🌐 Setting up CORS middleware...
2026-04-18 07:33:38 | INFO     | digital_twin.app     |    Allowed origins: ['http://localhost:3000', 'http://localhost:8080', 'http://localhost:5173']
